begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name
,,,,2,HEX_Air_Outlet5_Thermometer_Status,,,,,,,,
,,,,3,HEX_Air_Outlet6_Thermometer_Status,,,,,,,,
,,,,4,HEX_Air_Outlet7_Thermometer_Status,,,,,,,,
,,,,5,HEX_Air_Outlet8_Thermometer_Status,,,,,,,,
,,,,6,HEX_Air_Outlet9_Thermometer_Status,,,,,,,,
,,,,7,HEX_Air_Outlet10_Thermometer_Status,,,,,,,,
,,,,8,HEX_Air_Outlet11_Thermometer_Status,,,,,,,,
,,,,9,HEX_Air_Outlet12_Thermometer_Status,,,,,,,,
,,,,10,HEX_Air_Outlet13_Thermometer_Status,,,,,,,,
,,,,11,HEX_Air_Outlet14_Thermometer_Status,,,,,,,,
,,,,12,HEX_Air_Inlet3_Thermometer_Status,,,,,,,,
,,,,13,HEX_Air_Inlet4_Thermometer_Status,,,,,,,,
41473,1,,,,,FLAGS,,,,,,,HEX_Alarm
,,,,0,HEX_Fan11_Status,,,,,,,,
,,,,1,HEX_Fan12_Status,,,,,,,,
,,,,2,HEX_Fan13_Status,,,,,,,,
,,,,3,HEX_Fan14_Status,,,,,,,,
41985,1,,,,,INTEGER,,,,,,,AALC_Modbus_Address
41986,1,,,,,INTEGER,,,,,,,Manual_Control_RPU_Fan_Duty_Set
41987,1,,,,,INTEGER,,,,,,,Manual_Control_Pump1_Duty_Set
41988,1,,,,,INTEGER,,,,,,,Manual_Control_Pump2_Duty_Set
41989,1,,,,,INTEGER,,,,,,,Manual_Control_Pump3_Duty_Set
42112,1,,,,,INTEGER,,,,,,,Manual_Control_RPU_Fan_OnOff
