begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name
,,,,15,Discharge_Power_Less_Than_500W,,,,,,,,
163,1,,,,,INTEGER,,,,,,,Number_of_Installed_BBUs
164,1,,,,,FLAGS,,,,,,,BBU_Module_Hardware_Signals
,,,,15,SYNC_STOP_L,,,,,,,,
,,,,14,PSKILL,,,,,,,,
,,,,13,BBU_ALERT_L,,,,,,,,
,,,,12,BBU_Reset,,,,,,,,
,,,,11,SOH_L,,,,,,,,
,,,,10,AC_Loss_1_L,,,,,,,,
,,,,9,AC_Loss_2_L,,,,,,,,
,,,,8,PLS_L,,,,,,,,
,,,,7,SYNC_START_L,,,,,,,,
,,,,6,A2,,,,,,,,
,,,,5,A1,,,,,,,,
,,,,4,A0,,,,,,,,
,,,,3,Shelf_Addr_int_2,,,,,,,,
,,,,2,Shelf_Addr_int_1,,,,,,,,
,,,,1,Shelf_Addr_int_0,,,,,,,,
,,,,0,Pulse_Mgmt_L,,,,,,,,
165,1,,,,,FLAGS,,,,,,,Battery_Pack_Hardware_Signals
,,,,15,SYS_PRES,,,,,,,,
,,,,14,PF_Flag,,,,,,,,
,,,,13,GG_SMD,,,,,,,,
,,,,12,GG_SMC,,,,,,,,
,,,,11,RTCSMD,,,,,,,,
,,,,10,RTCSMC,,,,,,,,
,,,,7,BMS_Not_Insert,,,,,,,,
,,,,5,PSU_Fault_L,,,,,,,,
,,,,4,BMS_Fail,,,,,,,,
,,,,2,BMS_SoH,,,,,,,,
,,,,1,BMS_Charge_Enable,,,,,,,,
,,,,0,BMS_Stop_Discharge,,,,,,,,
166,1,,,,,FLAGS,,,,,,,LED_Status
,,,,0,Power_Good_LED_On,,,,,,,,
,,,,1,Power_Good_LED_Blinking,,,,,,,,
,,,,2,LOWV_LED_On,,,,,,,,
,,,,3,LOWV_LED_Blinking,,,,,,,,
,,,,4,EOL_LED_On,,,,,,,,
,,,,5,EOL_LED_Blinking,,,,,,,,
,,,,6,FAULT_LOC_LED_On,,,,,,,,
,,,,7,FAULT_LOC_LED_Blinking,,,,,,,,
167,1,,,,,INTEGER,,,,,,,Count_of_Discharge_Events
168,1,,,,,FLAGS,,,,,,,SOH_Not_Start_Reason
,,,,15,Discharge_Power_Less_Than_500W,,,,,,,,
,,,,14,BBU_Failure,,,,,,,,
,,,,13,BBU_Not_Installed,,,,,,,,
,,,,12,BBU_EOL,,,,,,,,
,,,,11,BBU_In_Bootloader_Mode,,,,,,,,
,,,,10,BBU_Voltage_3900mV_Per_Cell,,,,,,,,
,,,,9,CAN_Failure,,,,,,,,
,,,,8,Other,,,,,,,,
169,1,,,,,INTEGER,,,,,,,Number_of_BBU_CAN_Bus
170,1,,,,,INTEGER,,,,,,,Number_of_Shelf_CAN_Bus
179,1,,,,,INTEGER,,,,,,,Battery_Pack_Charge_Failure
180,1,,,,,INTEGER,,,,,,,Battery_Pack_Discharge_Failure
181,1,,,,,INTEGER,,,,,,,Battery_Pack_Permanent_Failure
182,1,,,,,INTEGER,,,,,,,Battery_Pack_FW_Revision
183,1,,,,,INTEGER,,,,,,,Specification_Info
184,1,,,,,INTEGER,,,,,,,Manufacturer_Date
185,1,,,,,INTEGER,,,,,,,Serial_Number
186,2,,,,,STRING,,,,,,,Device_Chemistry
188,4,,,,,STRING,,,,,,,Manufacturer_Data
192,16,,,,,STRING,,,,,,,Manufacturer_Name
208,16,,,,,STRING,,,,,,,Device_Name
