begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name,unit
8904,1,,,,,INTEGER,,,,TRUE,,,Power_Module_6_Temperature_Inverter,
8905,1,,,,,INTEGER,,,,TRUE,,,Power_Module_6_AMB_Temperature,
8906,1,,,,,INTEGER,,,,,,,Power_Module_6_FAN_Speed,
8912,10,,,,,STRING,,,,,,,Power_Module_6_Model_Number,
8210,1,,,,,FLAGS,,,,,,,Power_Module_1_Attribute,
,,,,0,PFC,,,,,,,,,
,,,,1,Rectifier,,,,,,,,,
,,,,2,Charger,,,,,,,,,
,,,,3,Inverter,,,,,,,,,
,,,,4,DCDC_Converter,,,,,,,,,
8211,1,,,,,FLAGS,,,,,,,Power_Module_1_Power_Module_Alarm_Flags_PFC,
,,,,4,Mains_Input_Over_Current_Warning,,,,,,,,,
,,,,5,Over_Heat_Warning,,,,,,,,,
,,,,6,PFC_Rectifier_Thermal_Sensor_Not_Installed,,,,,,,,,
,,,,8,Over_Heat_Shutdown,,,,,,,,,
8212,1,,,,,FLAGS,,,,,,,Power_Module_1_Power_Module_Alarm_Flags_INV,
,,,,4,Over_Heat_Warning,,,,,,,,,
,,,,5,INV_Thermal_Sensor_Not_Installed,,,,,,,,,
,,,,8,Over_Heat_Shutdown,,,,,,,,,
,,,,9,INV_DC_Offset_Fault_Shutdown,,,,,,,,,
,,,,10,INV_Volt_Abnormal,,,,,,,,,
,,,,11,INV_Over_Current_Shutdown,,,,,,,,,
8213,1,,,,,FLAGS,,,,,,,Power_Module_1_Power_Module_Alarm_Flags_D2D,
,,,,4,PFC_DCBus_Under_Warning,,,,,,,,,
,,,,5,DC_Converter_Over_Heat_Warning,,,,,,,,,
,,,,6,DC_Converter_Thermal_Sensor_Not_Installed,,,,,,,,,
,,,,8,DCBus_Over_Shutdown,,,,,,,,,
,,,,9,DCBus_Over_Shutdown_HW,,,,,,,,,
,,,,10,DCBus_Under_Shutdown,,,,,,,,,
,,,,11,DC_Converter_Over_Heat_Shutdown,,,,,,,,,
8214,1,,,,,FLAGS,,,,,,,Power_Module_1_Power_Module_Alarm_Flags_Battery,
,,,,0,Li_ionBattery_Over_Current_Warning,,,,,,,,,
,,,,4,Battery_End_of_Discharge_Imminent,,,,,,,,,
,,,,8,Battery_End_Of_Discharge,,,,,,,,,
8215,1,,,,,FLAGS,,,,,,,Power_Module_1_Power_Module_Alarm_Flags_Charger,
,,,,8,Charger_Fault,,,,,,,,,
8216,1,,,,,FLAGS,,,,,,,Power_Module_1_Power_Module_Alarm_Flags_Sev0,
,,,,0,On_Line,,,,,,,,,
,,,,1,Load_On_Battery,,,,,,,,,
,,,,2,No_Output,,,,,,,,,
,,,,3,UPS_Soft_Start,,,,,,,,,
,,,,4,FW_Upgrade,,,,,,,,,
8217,1,,,,,FLAGS,,,,,,,Power_Module_1_Power_Module_Alarm_Flags_Sev1,
,,,,0,Mains_Input_Volt_Out_Range,,,,,,,,,
,,,,1,Mains_Input_Freq_Out_of_Range,,,,,,,,,
,,,,2,PM_Repair_Switch_Open,,,,,,,,,
8218,1,,,,,FLAGS,,,,,,,Power_Module_1_Power_Module_Alarm_Flags_Sev2,
,,,,0,System_Ambient_Over_Temperature_Warning,,,,,,,,,
,,,,1,System_Fan_Warning,,,,,,,,,
,,,,2,Output_Overload_Warning,,,,,,,,,
,,,,3,Ambient_Thermal_Sensor_Not_Installed,,,,,,,,,
8219,1,,,,,FLAGS,,,,,,,Power_Module_1_Power_Module_Alarm_Flags_Sev3,
,,,,0,Output_Overload_Shutdown,,,,,,,,,
,,,,1,System_Ambient_Over_Temperature_Shutdown,,,,,,,,,
,,,,2,Soft_Start_Fail,,,,,,,,,
,,,,3,INTCAN_Comm_Loss,,,,,,,,,
,,,,4,MONCAN_Comm_Loss,,,,,,,,,
,,,,5,Output_Relay_Abnormal_Shutdown,,,,,,,,,
,,,,6,Aux_Power_Low,,,,,,,,,
,,,,7,DC_Mode_Fan_Fault_Shutdown,,,,,,,,,
,,,,8,PFC_Soft_Start_Fail,,,,,,,,,
,,,,9,Main_InputBackfeed_Fault,,,,,,,,,
,,,,10,Synchronize_Shutdown,,,,,,,,,
8338,1,,,,,FLAGS,,,,,,,Power_Module_2_Attribute,
,,,,0,PFC,,,,,,,,,
,,,,1,Rectifier,,,,,,,,,
,,,,2,Charger,,,,,,,,,
,,,,3,Inverter,,,,,,,,,
,,,,4,DCDC_Converter,,,,,,,,,
8339,1,,,,,FLAGS,,,,,,,Power_Module_2_Power_Module_Alarm_Flags_PFC,
,,,,4,Mains_Input_Over_Current_Warning,,,,,,,,,
,,,,5,Over_Heat_Warning,,,,,,,,,
,,,,6,PFC_Rectifier_Thermal_Sensor_Not_Installed,,,,,,,,,
,,,,8,Over_Heat_Shutdown,,,,,,,,,
8340,1,,,,,FLAGS,,,,,,,Power_Module_2_Power_Module_Alarm_Flags_INV,
,,,,4,Over_Heat_Warning,,,,,,,,,
,,,,5,INV_Thermal_Sensor_Not_Installed,,,,,,,,,
,,,,8,Over_Heat_Shutdown,,,,,,,,,
,,,,9,INV_DC_Offset_Fault_Shutdown,,,,,,,,,
,,,,10,INV_Volt_Abnormal,,,,,,,,,
,,,,11,INV_Over_Current_Shutdown,,,,,,,,,
8341,1,,,,,FLAGS,,,,,,,Power_Module_2_Power_Module_Alarm_Flags_D2D,
,,,,4,PFC_DCBus_Under_Warning,,,,,,,,,
,,,,5,DC_Converter_Over_Heat_Warning,,,,,,,,,
,,,,6,DC_Converter_Thermal_Sensor_Not_Installed,,,,,,,,,
,,,,8,DCBus_Over_Shutdown,,,,,,,,,
,,,,9,DCBus_Over_Shutdown_HW,,,,,,,,,
,,,,10,DCBus_Under_Shutdown,,,,,,,,,
,,,,11,DC_Converter_Over_Heat_Shutdown,,,,,,,,,
8342,1,,,,,FLAGS,,,,,,,Power_Module_2_Power_Module_Alarm_Flags_Battery,
