begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name,unit
12444,1,,,,,FLAGS,,,,,,,BBU_Module_3_Battery_Status6,
,,,,0,IEC60730_SENSOR_DATA,,,,,,,,,
,,,,1,IEC60730_AFE_ADDR,,,,,,,,,
,,,,8,IEC60730_CELL_T_OPEN,,,,,,,,,
,,,,9,IEC60730_CELL_T_SHORT,,,,,,,,,
,,,,10,IEC60730_CELL_T_ERROR,,,,,,,,,
,,,,12,IEC60730_CHG_V_ERROR,,,,,,,,,
,,,,13,IEC60730_DSG_V_ERROR,,,,,,,,,
,,,,14,IEC60730_TOTAL_V_ERROR,,,,,,,,,
12445,1,,,,,INTEGER,,,,,,,BBU_Module_3_State_Machine,
12446,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_3_Cell_Maximum_Voltage,
12447,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_3_Cell_Minimum_Voltage,
12448,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_3_Cell_Maximum_Temperature,
12449,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_3_Cell_Minimum_Temperature,
12450,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_3_Cell_Voltage_1,
12451,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_3_Cell_Voltage_2,
12452,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_3_Cell_Voltage_3,
12453,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_3_Cell_Voltage_4,
12454,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_3_Cell_Voltage_5,
12455,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_3_Cell_Voltage_6,
12456,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_3_Cell_Voltage_7,
12457,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_3_Cell_Voltage_8,
12458,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_3_Cell_Voltage_9,
12459,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_3_Cell_Voltage_10,
12460,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_3_Cell_Voltage_11,
12461,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_3_Cell_Voltage_12,
12462,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_3_Cell_Voltage_13,
12463,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_3_Cell_Voltage_14,
12464,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_3_Cell_Temperature_1,
12465,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_3_Cell_Temperature_2,
12466,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_3_Cell_Temperature_3,
12467,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_3_Cell_Temperature_4,
12468,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_3_DMOSFET_Temperature,
12469,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_3_CMOSFET_Temperature,
12470,1,,,,,INTEGER,,,,,,,BBU_Module_3_SOH_test_phase,
12471,1,,,,,INTEGER,,,,,,,BBU_Module_3_SOH_test_result,
12472,1,,,,,INTEGER,,,,,,,BBU_Module_3_SOH,
12473,2,,,,,INTEGER,,,,,,,BBU_Module_3_SOH_Test_Unix_Time,
12475,2,,,,,INTEGER,,,,,,,BBU_Module_3_SOH_BMS_Unix_Time,
12484,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_4_Maximum_Charging_Voltage,
12485,1,,,,,FLOAT,,,0,,0.01,,BBU_Module_4_Maximum_Charging_Current,
12486,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_4_Maximum_Charging_Temperature,
12487,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_4_Minimum_Charging_Temperature,
12488,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_4_Discharging_Cutoff_Voltage,
12489,1,,,,,FLOAT,,,0,,0.01,,BBU_Module_4_Maximum_Discharging_Current,
12490,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_4_Maximum_Discharging_Temperature,
12491,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_4_Minimum_Discharging_Temperature,
12492,1,,,,,INTEGER,,,,,,,BBU_Module_4_Firmware_CRC,
12493,1,,,,,INTEGER,,,,,,,BBU_Module_4_BMS_Data_Version,
12494,1,,,,,INTEGER,,,,,,,BBU_Module_4_BMS_Data_CRC,
12496,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_4_DC_Bus_Voltage,
12497,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_4_Battery_Pack_Voltage,
12498,1,,,,,FLOAT,,,0,,0.01,,BBU_Module_4_Current,
12499,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_4_Battery_Pack_Temperature,
12500,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_4_Remaining_Capacity,
12501,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_4_Full_Charge_Capacity,
