U19,VPOB3,SCU8C[1]=1 & SCU94[1:0]!=0 & GFX064[7]=1,BMCINT,SCU8C[1]=1,GPIOS1,,
R18,VPOB4,SCU8C[2]=1 & SCU94[1:0]!=0 & GFX064[7]=1,SALT5,SCU8C[2]=1,GPIOS2,,
P18,VPOB5,SCU8C[3]=1 & SCU94[1:0]!=0 & GFX064[7]=1,SALT6,SCU8C[3]=1,GPIOS3,,
R19,VPOB6,SCU8C[4]=1 & SCU94[1:0]!=0 & GFX064[7]=1,GPIOS4,,,,
W20,VPOB7,SCU8C[5]=1 & SCU94[1:0]!=0 & GFX064[7]=1,GPIOS5,,,,
U20,VPOB8,SCU8C[6]=1 & SCU94[1:0]!=0 & GFX064[7]=1,GPIOS6,,,,
AA20,VPOB9,SCU8C[7]=1 & SCU94[1:0]!=0 & GFX064[7]=1,GPIOS7,,,,
B5,GPIOT0,SCUA0[0]=1,RMII1RCLKO,Strap[6]=0 & SCU48[29]=1,RGMII1TXCK,,
E9,GPIOT1,SCUA0[1]=1,RMII1TXEN,Strap[6]=0,RGMII1TXCTL,,
F9,GPIOT2,SCUA0[2]=1,RMII1TXD0,Strap[6]=0,RGMII1TXD0,,
A5,GPIOT3,SCUA0[3]=1,RMII1TXD1,Strap[6]=0,RGMII1TXD1,,
E7,GPIOT4,SCUA0[4]=1,-,Strap[6]=0,RGMII1TXD2,,
D7,GPIOT5,SCUA0[5]=1,-,Strap[6]=0,RGMII1TXD3,,
B2,GPIOT6,SCUA0[6]=1,RMII2RCLKO,Strap[7]=0 & SCU48[30]=1,RGMII2TXCK,,
B1,GPIOT7,SCUA0[7]=1,RMII2TXEN,Strap[7]=0,RGMII2TXCTL,,
A2,GPIOU0,SCUA0[8]=1,RMII2TXD0,Strap[7]=0,RGMII2TXD0,,
B3,GPIOU1,SCUA0[9]=1,RMII2TXD1,Strap[7]=0,RGMII2TXD1,,
D5,GPIOU2,SCUA0[10]=1,-,Strap[7]=0,RGMII2TXD2,,
,,,,,,,
D4,GPIOU3,SCUA0[11]=1,-,Strap[7]=0,RGMII2TXD3,,
